tip_lable,taxa
Campanulids_Flaveria_pubescens-2_samples_combined_LYPZ,Campanulids_Flaveria_pubescens-2_samples_combined_LYPZ
Campanulids_Flaveria_sonorensis_UYED,Campanulids_Flaveria_sonorensis_UYED
Campanulids_Flaveria_trinervia-2_samples_combined_ZCUA,Campanulids_Flaveria_trinervia-2_samples_combined_ZCUA
Campanulids_Flaveria_vaginata_HXCD,Campanulids_Flaveria_vaginata_HXCD
Campanulids_Griselinia_littoralis_MVSE,Campanulids_Griselinia_littoralis_MVSE
Campanulids_Griselinia_racemosa_QIKZ,Campanulids_Griselinia_racemosa_QIKZ
Campanulids_Hedera_helix-2_samples_combined_SUVN,Campanulids_Hedera_helix-2_samples_combined_SUVN
Campanulids_Helenium_autumnale_DUNJ,Campanulids_Helenium_autumnale_DUNJ
Campanulids_Helwingia_japonica_QACK,Campanulids_Helwingia_japonica_QACK
Campanulids_Heracleum_lanatum_CWYJ,Campanulids_Heracleum_lanatum_CWYJ
Campanulids_Hydrocotyle_umbellata_OINM,Campanulids_Hydrocotyle_umbellata_OINM
Campanulids_Ilex_paraguariensis_SXML,Campanulids_Ilex_paraguariensis_SXML
Campanulids_Ilex_sp._DFYF,Campanulids_Ilex_sp._DFYF
Campanulids_Ilex_vomitoria_ASMV,Campanulids_Ilex_vomitoria_ASMV
Campanulids_Inula_helenium_AFQQ,Campanulids_Inula_helenium_AFQQ
Campanulids_Lactuca_graminifolia-2_samples_combined_RFSD,Campanulids_Lactuca_graminifolia-2_samples_combined_RFSD
Campanulids_Leontopodium_alpinum_DOVJ,Campanulids_Leontopodium_alpinum_DOVJ
Campanulids_Lobelia_siphilitica_IZLO,Campanulids_Lobelia_siphilitica_IZLO
Campanulids_Lonicera_japonica_GSZA,Campanulids_Lonicera_japonica_GSZA
Campanulids_Matricaria_matricariodes_OAGK,Campanulids_Matricaria_matricariodes_OAGK
Campanulids_Menyanthes_trifoliata_IXVJ,Campanulids_Menyanthes_trifoliata_IXVJ
Campanulids_Mydocarpus_sp._AJFN,Campanulids_Mydocarpus_sp._AJFN
Campanulids_Pennantia_corymbosa_SBZH,Campanulids_Pennantia_corymbosa_SBZH
Campanulids_Phelline_lucida_AUIP,Campanulids_Phelline_lucida_AUIP
Campanulids_Pittosporum_resiniferum-fruit_SALZ,Campanulids_Pittosporum_resiniferum-fruit_SALZ
Campanulids_Pittosporum_sahnianum_NTEO,Campanulids_Pittosporum_sahnianum_NTEO
Campanulids_Platycodon_grandiflorus_IHPC,Campanulids_Platycodon_grandiflorus_IHPC
Campanulids_Platyspermation_crassifolium_TPEM,Campanulids_Platyspermation_crassifolium_TPEM
